_id	date	site	parameter	index_value	description	health_advisory	health_effects
49045	12/8/2021	Liberty	SO2	1	Good		
9084	2/24/2017	Lawrenceville 2	SO2	4	Good		
33415	1/8/2020	Avalon	SO2	0	Good		
10385	4/23/2017	South Fayette	OZONE	50	Good		
32538	12/2/2019	Lawrenceville 2	CO	2	Good		
13991	9/30/2017	North Braddock	PM10B	23	Good		
41574	1/16/2021	Flag Plaza	PM10	13	Good		
82060	9/20/2024	Pittsburgh	PM25_640	48	Good		
46139	8/25/2021	North Braddock	CO	15	Good		
69949	5/13/2023	Liberty 2	PM25T	82	Moderate	Unusually sensitive people should consider reducing prolonged or heavy exertion.	"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
20921	8/3/2018	Lawrenceville 2	SO2	1	Good		
28978	7/12/2019	Lawrenceville 2	CO	3	Good		
80896	8/6/2024	Lawrenceville	OZONE	47	Good		
29137	7/18/2019	Avalon	SO2	0	Good		
76207	1/26/2024	Parkway East	PM25_640	12	Good		
32507	12/1/2019	North Braddock	PM10B	14	Good		
37325	7/1/2020	Parkway East	CO	9	Good		
27950	5/31/2019	Lawrenceville 2	SO2	1	Good		
35639	4/16/2020	Lawrenceville	OZONE	39	Good		
81775	9/8/2024	Lawrenceville 2	CO	3	Good		
27313	5/5/2019	Lawrenceville 2	CO	2	Good		
15300	11/27/2017	Liberty	SO2	44	Good		
44135	5/21/2021	Harrison Township	NO2	15	Good		
16672	1/26/2018	Lawrenceville	PM25B	61	Moderate	Unusually sensitive people should consider reducing prolonged or heavy exertion.	"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
35091	3/23/2020	Lawrenceville 2	SO2	1	Good		
59271	9/18/2022	Liberty 2	PM10	40	Good		
52408	3/5/2022	North Braddock	PM10_640	28	Good		
29597	8/6/2019	Parkway East	PM25T	66	Moderate	Unusually sensitive people should consider reducing prolonged or heavy exertion.	"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
9083	2/24/2017	Flag Plaza	PM10	35	Good		
10507	4/28/2017	Lincoln	PM25	49	Good		
17060	2/12/2018	Lawrenceville 2	CO	3	Good		
31883	11/5/2019	Liberty 2	PM10	27	Good		
7073	11/21/2016	Avalon	SO2	1	Good		
59088	9/12/2022	Parkway East	PM25_640	30	Good		
26950	4/20/2019	Lawrenceville	OZONE	42	Good		
44249	5/26/2021	North Braddock	SO2	21	Good		
52187	3/12/2022	Avalon	PM25T	27	Good		
73869	10/20/2023	South Fayette	OZONE	29	Good		
18522	4/18/2018	Lincoln	PM10	12	Good		
22359	10/6/2018	North Braddock	SO2	3	Good		
5928	9/30/2016	South Fayette	SO2	1	Good		
70832	6/13/2023	South Fayette	OZONE	44	Good		
30000	8/22/2019	Lincoln	PM25	41	Good		
31701	10/29/2019	West Mifflin	SO2	4	Good		
78336	4/26/2024	North Braddock	SO2	11	Good		
73167	9/19/2023	North Braddock	PM25_640	34	Good		
26684	4/9/2019	Liberty 2	PM10	24	Good		
5965	10/2/2016	South Fayette	SO2	0	Good		
34688	3/4/2020	Harrison Township	OZONE	26	Good		
47396	10/22/2021	Flag Plaza	PM10	12	Good		
67300	3/7/2023	Avalon	PM25_640	19	Good		
